分類,市町村コード,No,都道府県,市区町村名,地域区分,設置主体,運営主体,保育所型認定こども園,設置・運営主体名,名称,郵便番号,住所,建物ビル名,階数,部屋番号等,緯度,経度,電話番号,内線番号,FAX番号,URL,利用定員（2号）,利用定員（3号）,施設長又は代表者,認可・認定年月日（和暦）,認可・認定年月日（西暦）,備考,更新年月日
道内認可保育所,11088,札幌-174,北海道,札幌市厚別区,札幌（厚）,社福,社福,,社会福祉法人厚別共栄福祉会,厚別共栄保育園,004-0022,札幌市厚別区厚別南1丁目11-1,,,,43.03098,141.465693,011-891-9470,,011-893-4414,,71,49,石井　弥生子,昭和50年2月1日,1975/2/1,,2022/3/15
道内認可保育所,11088,札幌-175,北海道,札幌市厚別区,札幌（厚）,社福,社福,,社会福祉法人新札幌福祉会,もみじ台南保育園,004-0012,札幌市厚別区もみじ台南6丁目11-1,,,,43.024,141.500074,011-897-7311,,011-897-5007,,36,24,辻石　朱美,昭和51年4月1日,1976/4/1,,2022/3/15
道内認可保育所,11088,札幌-176,北海道,札幌市厚別区,札幌（厚）,社福,社福,,社会福祉法人札幌協働福祉会,札幌協働保育園,004-0013,札幌市厚別区もみじ台西6丁目1-3,,,,43.03148,141.490552,011-897-5033,,011-897-5134,http://sapporo-kyoudoufukusikai.jp/hoikuen/,75,55,久松　曜子,昭和53年12月1日,1978/12/1,,2022/3/15
道内認可保育所,11088,札幌-177,北海道,札幌市厚別区,札幌（厚）,社福,社福,,社会福祉法人札幌こま草福祉会,厚別こま草保育園,004-0053,札幌市厚別区厚別中央3条4丁目4-8,,,,43.039618,141.466197,011-891-5541,,011-891-5561,http://www.geocities.co.jp/HeartLand-Poplar/2807/hoikusyoguide/komakusa.html,70,50,野村　信昭,昭和57年3月1日,1982/3/1,,2022/3/15
道内認可保育所,11088,札幌-178,北海道,札幌市厚別区,札幌（厚）,社福,社福,,社会福祉法人法和福祉会,厚別西保育園,004-0064,札幌市厚別区厚別西4条4丁目10-10,,,,43.053378,141.465483,011-802-3115,,011-802-3002,http://www6.ocn.ne.jp/%7Eantenten/html/gaiyou.htm,54,36,齋藤　真理子,平成15年4月1日,2003/4/1,,2022/3/15
道内認可保育所,11088,札幌-179,北海道,札幌市厚別区,札幌（厚）,社福,社福,,社会福祉法人光華園,札幌わんぱく館,004-0055,札幌市厚別区厚別中央5条6丁目6-11,,,,43.046137,141.472295,011-896-1893,,011-896-1895,,33,27,保科　祐美,平成16年4月1日,2004/4/1,,2022/3/15
道内認可保育所,11088,札幌-180,北海道,札幌市厚別区,札幌（厚）,社福,社福,,社会福祉法人小野幌福祉会,新さっぽろとまと保育園,004-0002,札幌市厚別区厚別東2条3丁目1-10,,,,43.041852,141.483557,011-897-8693,,011-898-7481,,36,24,高井　博史,平成16年4月1日,2004/4/1,,2022/3/15
道内認可保育所,11088,札幌-181,北海道,札幌市厚別区,札幌（厚）,社福,社福,,社会福祉法人福美会,厚別もえぎ保育園,004-0005,札幌市厚別区厚別東5条7丁目10-1,,,,43.055278,141.481456,011-876-8788,,011-898-4666,http://www.ans.co.jp/n/atsubetsumoegi/,34,26,瀬尾　昌彦,平成20年4月1日,2008/4/1,,2022/3/15
道内認可保育所,11088,札幌-182,北海道,札幌市厚別区,札幌（厚）,社福,社福,,社会福祉法人芽生,ひばりが丘あすなろ保育園,004-0022,札幌市厚別区厚別南1丁目4-13,,,,43.0303,141.4636,011-375-9835,,,,22,18,山本　廣子,平成30年4月1日,2018/4/1,,2022/3/15
道内認可保育所,11088,札幌-183,北海道,札幌市厚別区,札幌（厚）,株式,株式,,株式会社グローバル・コミュニケーションズ,きっずぱーく厚別保育園,004-0064,札幌市厚別区厚別西4条2丁目6-55,,,,43.05,141.4579,011-807-0708,,,,24,16,岡本　諭,令和3年4月1日,2021/4/1,,2022/3/15
道内認可保育所,11053,札幌-184,北海道,札幌市豊平区,札幌（豊）,株式,株式,,株式会社アドレ,月寒じゅんのめ保育園,062-0053,札幌市豊平区月寒東3条11丁目1-23,,,,43.0277,141.4096,011-858-3330,,,,35,25,西田　聡,平成31年4月1日,2019/4/1,,2022/3/15
道内認可保育所,11053,札幌-185,北海道,札幌市豊平区,札幌（豊）,株式,株式,,株式会社ナーサリープラットフォーム,きゃんばす平岸保育園,062-0906,札幌市豊平区平岸6条14丁目4-37,,,,43.0238,141.3801,011-376-1263,,,,45,35,森　妙子,令和2年4月1日,2020/4/1,,2022/3/15
道内認可保育所,11053,札幌-186,北海道,札幌市豊平区,札幌（豊）,市町村,市町村,,札幌市,札幌市豊平区保育・子育て支援センター,062-0051,札幌市豊平区月寒東1条4丁目2-11,,,,43.035026,141.396967,011-851-3945,,011-857-1634,http://www.city.sapporo.jp/toyohira/child_care/12shiencenter.html,68,52,橋詰　英津子,平成18年4月1日,2006/4/1,,2022/3/15
道内認可保育所,11053,札幌-187,北海道,札幌市豊平区,札幌（豊）,市町村,市町村,,札幌市,札幌市美園保育園,062-0005,札幌市豊平区美園5条7丁目7-1,,,,43.037504,141.388422,011-831-6890,,011-832-9494,,76,44,穗山　めぐみ,昭和30年5月1日,1955/5/1,,2022/3/15
道内認可保育所,11053,札幌-188,北海道,札幌市豊平区,札幌（豊）,市町村,市町村,,札幌市,札幌市豊園保育園,062-0005,札幌市豊平区美園5条1丁目2-5,,,,43.042531,141.380589,011-812-4668,,011-832-9499,,68,22,伊藤　美穂,昭和51年11月1日,1976/11/1,,2022/3/15
道内認可保育所,11053,札幌-189,北海道,札幌市豊平区,札幌（豊）,社福,社福,,社会福祉法人札幌愛隣舘,札幌愛隣舘保育園,062-0904,札幌市豊平区豊平4条3丁目3-27,,,,43.050586,141.369062,011-821-5905,,011-841-1720,http://airinkan.jp/airinkan-h.html,90,75,船越谷　真理子,昭和24年8月1日,1949/8/1,,2022/3/15
道内認可保育所,11053,札幌-190,北海道,札幌市豊平区,札幌（豊）,社福,社福,,社会福祉法人ろうふく会,札幌第１福ちゃん保育園,062-0901,札幌市豊平区豊平1条13丁目1-20,,,,43.046508,141.383578,011-811-7403,,011-811-7405,,48,42,及川　知史,昭和53年2月17日,1978/2/17,,2022/3/15
道内認可保育所,11053,札幌-191,北海道,札幌市豊平区,札幌（豊）,社福,社福,,社会福祉法人慈光園,みのり保育所,062-0052,札幌市豊平区月寒東2条11丁目14-21,,,,43.025839,141.40481,011-851-0982,,011-851-4982,,55,45,籠島　洋子,昭和29年6月1日,1954/6/1,,2022/3/15
道内認可保育所,11053,札幌-192,北海道,札幌市豊平区,札幌（豊）,社福,社福,,社会福祉法人光華園,中の島保育所,062-0922,札幌市豊平区中の島2条9丁目5-1,,,,43.0227,141.357731,011-841-1646,,011-841-1667,,72,48,水岡　路代,昭和41年8月1日,1966/8/1,,2022/3/15
道内認可保育所,11053,札幌-193,北海道,札幌市豊平区,札幌（豊）,一財,一財,,一般財団法人多田福祉事業団,西岡保育園,062-0022,札幌市豊平区月寒西2条10丁目2-78,,,,43.025256,141.392255,011-851-6358,,011-853-6707,http://nishiokahoikuen.jp/,51,49,多田　祐子,昭和42年12月1日,1967/12/1,,2022/3/15
道内認可保育所,11053,札幌-194,北海道,札幌市豊平区,札幌（豊）,社福,社福,,社会福祉法人札幌愛隣舘,札幌愛隣舘東山保育園,062-0934,札幌市豊平区平岸4条11丁目3-14,,,,43.029088,141.373312,011-822-4208,,011-822-4208,http://airinkan.jp/higashiyama-h.html,90,60,山崎　慶子,昭和45年1月1日,1970/1/1,,2022/3/15
道内認可保育所,11053,札幌-195,北海道,札幌市豊平区,札幌（豊）,社福,社福,,社会福祉法人義弘会,東月寒保育園,062-0051,札幌市豊平区月寒東1条19丁目1-16,,,,43.013841,141.419754,011-851-7249,,011-850-6788,http://www.kosodate-web.com/higashitsukisamu/,75,45,藤戸　純子,昭和47年12月1日,1972/12/1,,2022/3/15
道内認可保育所,11053,札幌-196,北海道,札幌市豊平区,札幌（豊）,社福,社福,,社会福祉法人札幌愛隣舘,札幌愛隣舘りんご保育園,062-0934,札幌市豊平区平岸4条1丁目1-22,,,,43.042198,141.372756,011-811-7372,,011-811-7375,http://airinkan.jp/ringo-h.html,78,52,石川　泰子,昭和49年4月1日,1974/4/1,,2022/3/15
道内認可保育所,11053,札幌-197,北海道,札幌市豊平区,札幌（豊）,社福,社福,,社会福祉法人藤の園,羊丘藤保育園,062-0041,札幌市豊平区福住1条3丁目9-30,,,,43.018007,141.397755,011-851-1238,,011-851-1262,,66,54,渡辺　寿子,昭和50年3月1日,1975/3/1,,2022/3/15
道内認可保育所,11053,札幌-198,北海道,札幌市豊平区,札幌（豊）,社福,社福,,社会福祉法人子どもの家福祉会,子どもの家保育園,062-0934,札幌市豊平区平岸4条9丁目4-9,,,,43.032769,141.376552,011-841-0232,,011-841-0023,,30,30,佐々木　裕之,昭和50年9月1日,1975/9/1,,2022/3/15
道内認可保育所,11053,札幌-199,北海道,札幌市豊平区,札幌（豊）,社福,社福,,社会福祉法人札幌光陽会,西岡高台保育園,062-0034,札幌市豊平区西岡4条12丁目4-1,,,,42.995165,141.380788,011-583-1001,,011-583-1009,http://www.s-kouyoukai.jp/index.php?id=45,76,54,木村　典子,昭和53年11月1日,1978/11/1,,2022/3/15
道内認可保育所,11053,札幌-200,北海道,札幌市豊平区,札幌（豊）,社福,社福,,社会福祉法人常徳会,中の島興正保育園,062-0922,札幌市豊平区中の島2条1丁目3-18,,,,43.037749,141.361816,011-831-1600,,011-831-8179,http://www.joutokukai.or.jp/institu.html,32,28,枳穀　美紀,昭和55年4月1日,1980/4/1,,2022/3/15
道内認可保育所,11053,札幌-201,北海道,札幌市豊平区,札幌（豊）,社福,社福,,社会福祉法人札幌福隆会,福住保育園,062-0042,札幌市豊平区福住2条9丁目3-8,,,,43.005952,141.391784,011-852-6611,,011-852-6617,,49,41,三上　隆,昭和56年11月1日,1981/11/1,,2022/3/15
道内認可保育所,11053,札幌-202,北海道,札幌市豊平区,札幌（豊）,社福,社福,,社会福祉法人常徳会,平岸興正保育園,062-0931,札幌市豊平区平岸1条11丁目1-7,,,,43.029933,141.363485,011-824-2100,,011-824-2221,http://www.joutokukai.or.jp/institu.html,70,50,中越　亜貴乃,平成18年4月1日,2006/4/1,,2022/3/15
道内認可保育所,11053,札幌-203,北海道,札幌市豊平区,札幌（豊）,社福,社福,,社会福祉法人吉田学園福祉会,吉田学園やしの木保育園,062-0931,札幌市豊平区平岸1条15丁目4-11,,,,43.024519,141.364403,011-813-8400,,011-813-8422,http://www.ans.co.jp/n/yoshida-fukushikai/yashinoki/index.html,63,57,吉田　久美子,平成25年4月1日,2013/4/1,,2022/3/15
道内認可保育所,11053,札幌-204,北海道,札幌市豊平区,札幌（豊）,株式,株式,,株式会社プライムツーワン,ピッコロ子ども倶楽部月寒園,062-0055,札幌市豊平区月寒東5条10丁目3-3,,,,43.034063,141.412969,011-856-8110,,,http://www.pikkoro.jp/,21,19,岩渕　由起子,平成27年4月1日,2015/4/1,,2022/3/15
道内認可保育所,11053,札幌-205,北海道,札幌市豊平区,札幌（豊）,社福,社福,,社会福祉法人ふろんてぃあ,月寒西わんぱく保育園,062-0021,札幌市豊平区月寒西1条11丁目3-51,,,,43.0223,141.3983,011-858-1890,,,,33,27,鈴木　公雄,平成28年4月1日,2016/4/1,,2022/3/15
道内認可保育所,11053,札幌-206,北海道,札幌市豊平区,札幌（豊）,株式,株式,,株式会社プライムツーワン,ピッコロ子ども倶楽部福住園,062-0051,札幌市豊平区月寒東1条15丁目11-7,,,,43.0202,141.4089,011-376-5222,,,,22,18,小倉　孝子,平成28年4月1日,2016/4/1,,2022/3/15
道内認可保育所,11053,札幌-207,北海道,札幌市豊平区,札幌（豊）,株式,株式,,株式会社ライフサポート慈恵,乳幼児保育クラブぞうさん,062-0936,札幌市豊平区平岸6条13丁目3-30,,,,43.033576,141.377306,011-833-1225,,,http://cc-zousan.com/,33,27,間野　靜枝,平成28年4月1日,2016/4/1,,2022/3/15
道内認可保育所,11053,札幌-208,北海道,札幌市豊平区,札幌（豊）,株式,株式,,株式会社スクルドアンドカンパニー,スクルドエンジェル保育園月寒園,062-0025,札幌市豊平区月寒西5条10丁目2-8,,,,43.0252,141.3864,011-376-5790,,,,22,18,橋本　咲子,平成29年4月1日,2017/4/1,,2022/3/15
道内認可保育所,11053,札幌-209,北海道,札幌市豊平区,札幌（豊）,社福,社福,,社会福祉法人慈光園,とよひら保育園,062-0903,札幌市豊平区豊平3条11丁目2-3,,,,43.0473,141.3801,011-826-6618,,,,49,41,佐藤　理恵,平成30年4月1日,2018/4/1,,2022/3/15
道内認可保育所,11053,札幌-210,北海道,札幌市豊平区,札幌（豊）,社福,社福,〇,社会福祉法人石狩友愛福祉会,平岸友愛認定こども園,062-0932,札幌市豊平区平岸2条6丁目1-14,,,,43.036649,141.369219,011-374-5670,,011-374-5673,http://hiragishiyuai-hoiku.jp/,37,33,大高　恵,平成30年4月1日,2018/4/1,,2022/3/15
道内認可保育所,11053,札幌-211,北海道,札幌市豊平区,札幌（豊）,社福,社福,〇,社会福祉法人いちはつの会,認定こども園中の島スマイル,062-0931,札幌市豊平区平岸1条2丁目7-30,,,,43.040812,141.363797,011-832-2288,,011-832-1198,http://midorino.jp/?page_id=106,68,52,西　博康,令和2年4月1日,2020/4/1,,2022/3/15
道内認可保育所,11100,札幌-212,北海道,札幌市清田区,札幌（清）,社福,社福,,社会福祉法人清田福祉会,清田保育園,004-0871,札幌市清田区平岡1条2丁目11-30,,,,42.99775,141.445904,011-881-0329,,011-881-6122,,90,70,北川　洋一,昭和45年11月1日,1970/11/1,,2022/3/15
道内認可保育所,11100,札幌-213,北海道,札幌市清田区,札幌（清）,社福,社福,,社会福祉法人札幌福祉会,札幌北野保育園,004-0867,札幌市清田区北野7条4丁目11-30,,,,43.019925,141.447695,011-882-2850,,011-882-2859,http://www.sapporo-kitano.jp/,66,54,宮本　美保,昭和52年11月1日,1977/11/1,,2022/3/15
道内認可保育所,11100,札幌-214,北海道,札幌市清田区,札幌（清）,社福,社福,,社会福祉法人札幌盈友福祉会,札幌南清田保育園,004-0845,札幌市清田区清田5条2丁目29-1,,,,42.996205,141.429309,011-882-0505,,011-884-0868,,53,37,菅井　知子,昭和55年12月1日,1980/12/1,,2022/3/15
道内認可保育所,11100,札幌-215,北海道,札幌市清田区,札幌（清）,社福,社福,,社会福祉法人札幌愛裕会,さわやか保育園,004-0876,札幌市清田区平岡6条2丁目3-5,,,,43.010065,141.45414,011-883-3422,,011-883-3422,,36,24,河江　信治,昭和59年3月1日,1984/3/1,,2022/3/15
道内認可保育所,11100,札幌-216,北海道,札幌市清田区,札幌（清）,社福,社福,,社会福祉法人札幌盈友福祉会,札幌あさひ保育園,004-0813,札幌市清田区美しが丘3条2丁目6-27,,,,42.986041,141.447287,011-881-0606,,011-881-1515,http://homepage3.nifty.com/asahihoikuen/,54,46,平沼　祐一,平成10年2月1日,1998/2/1,,2022/3/15
道内認可保育所,11100,札幌-217,北海道,札幌市清田区,札幌（清）,社福,社福,,社会福祉法人札幌盈友福祉会,札幌真栄東保育園,004-0835,札幌市清田区真栄5条5丁目7-43,,,,42.978828,141.449068,011-884-0909,,011-886-8787,,36,24,恩村　一郎,平成19年2月1日,2007/2/1,,2022/3/15
道内認可保育所,11100,札幌-218,北海道,札幌市清田区,札幌（清）,社福,社福,,社会福祉法人函館杉の子園,札幌杉の子保育園,004-0864,札幌市清田区北野4条3丁目1-8,,,,43.014446,141.435564,011-887-3111,,011-887-3112,,48,42,長谷川　久子,平成23年4月1日,2011/4/1,,2022/3/15
道内認可保育所,11100,札幌-219,北海道,札幌市清田区,札幌（清）,株式,株式,,株式会社ＴＷＯ　ＣＡＲＡＴ,ラブクローバーの保育園　札幌清田,004-0847,札幌市清田区清田7条2丁目1-10,,,,42.9917,141.4278,011-887-5566,,,,24,16,斎藤　由香里,平成31年4月1日,2019/4/1,,2022/3/15
道内認可保育所,11100,札幌-220,北海道,札幌市清田区,札幌（清）,株式,株式,,株式会社ミレア,認可保育園Ｌｉｎｄｏ,004-0847,札幌市清田区清田7条4丁目14-10,,,,42.988,141.4365,011-887-8407,,,,24,16,_田　倫美,令和3年4月1日,2021/4/1,,2022/3/15
道内認可保育所,11100,札幌-221,北海道,札幌市清田区,札幌（清）,株式,株式,,株式会社ＴＷＯ　ＣＡＲＡＴ,ラブクローバーの保育園札幌北野,004-0861,札幌市清田区北野1条1丁目3-1,,,,43.0111,141.4264,011-888-3301,,,,24,16,竹原　茂美,令和3年4月1日,2021/4/1,,2022/3/15
道内認可保育所,11100,札幌-222,北海道,札幌市清田区,札幌（清）,株式,株式,,中和興産株式会社,ちゅうわ清田保育園,004-0841,札幌市清田区清田1条4丁目3-80,,,,43.0001,141.4391,011-375-1510,,,,24,16,笹川　優美子,令和3年4月1日,2021/4/1,,2022/3/15
道内認可保育所,11061,札幌-223,北海道,札幌市南区,札幌（南）,社福,社福,,社会福祉法人光華園,定山渓保育所,061-2302,札幌市南区定山渓温泉東3丁目256番地,,,,42.964034,141.165361,011-598-3448,,011-598-3445,,21,14,水岡　正則,昭和27年10月1日,1952/10/1,,2022/3/15
道内認可保育所,11061,札幌-224,北海道,札幌市南区,札幌（南）,社福,社福,,社会福祉法人みどりのくに,真駒内保育園,005-0016,札幌市南区真駒内南町1丁目7-4,,,,42.984176,141.352011,011-581-0005,,011-581-0010,http://www.ans.co.jp/n/makomanai/top.html,76,54,田川　清志,昭和42年11月1日,1967/11/1,,2022/3/15
道内認可保育所,11061,札幌-225,北海道,札幌市南区,札幌（南）,社福,社福,,社会福祉法人光華園,澄川保育所,005-0005,札幌市南区澄川5条5丁目5-10,,,,43.009729,141.369425,011-821-0471,,011-821-0477,,72,48,田野浜　裕美子,昭和45年11月1日,1970/11/1,,2022/3/15
道内認可保育所,11061,札幌-226,北海道,札幌市南区,札幌（南）,社福,社福,,社会福祉法人光華福祉会,もいわ光華保育園,005-0030,札幌市南区南30条西8丁目8-5,,,,43.019811,141.349982,011-582-1581,,011-582-1656,http://www.ans.co.jp/n/moiwakouka/index2.html,81,69,佐々木　晃,昭和47年2月1日,1972/2/1,,2022/3/15
道内認可保育所,11061,札幌-227,北海道,札幌市南区,札幌（南）,社福,社福,,社会福祉法人札幌全育会,まこまないみどりまち保育園,005-0013,札幌市南区真駒内緑町3丁目3-1,,,,42.993119,141.355844,011-582-1521,,011-582-1501,http://www.ans.co.jp/n/makomanaimidorimachi/,96,64,熊澤　千夏,昭和53年1月1日,1978/1/1,,2022/3/15
道内認可保育所,11061,札幌-228,北海道,札幌市南区,札幌（南）,社福,社福,,社会福祉法人敬生会,大地の杜保育園,005-0801,札幌市南区川沿1条1丁目3-82,,,,43.001534,141.337514,011-572-0251,,011-572-0372,,39,31,水正　佐知子,昭和57年4月1日,1982/4/1,,2022/3/15
道内認可保育所,11061,札幌-229,北海道,札幌市南区,札幌（南）,学法,学法,,学校法人札幌学園,遊・Ｗｉｎｇ,005-0018,札幌市南区真駒内曙町3丁目4-1,,,,43.000351,141.352549,011-585-2830,,011-585-2831,http://sapporo-gakuen.jp/yu-wing/,35,25,稲船　加寿子,平成15年4月1日,2003/4/1,,2022/3/15
道内認可保育所,11061,札幌-230,北海道,札幌市南区,札幌（南）,社福,社福,,社会福祉法人共和の会,くまの子保育園,005-0822,札幌市南区南沢2条3丁目7-1,,,,42.982333,141.319649,011-578-5133,,011-578-5144,,33,27,山口　真利子,平成16年4月1日,2004/4/1,,2022/3/15
道内認可保育所,11061,札幌-231,北海道,札幌市南区,札幌（南）,学法,学法,,学校法人華園学園,藤ヶ丘保育園,061-2284,札幌市南区藤野4条5丁目20-10,,,,42.95726,141.29741,011-593-3567,,011-591-0234,http://www.mfgakuen.com/,36,24,澤田　亮子,平成16年4月1日,2004/4/1,,2022/3/15
道内認可保育所,11061,札幌-232,北海道,札幌市南区,札幌（南）,学法,学法,,学校法人宝流学園,ルンビニー保育園,005-0809,札幌市南区川沿9条2丁目1-18,,,,42.985366,141.33452,011-572-8877,,011-572-8088,,36,24,渡邉　元,平成17年4月1日,2005/4/1,,2022/3/15
道内認可保育所,11061,札幌-233,北海道,札幌市南区,札幌（南）,社福,社福,,社会福祉法人みらい,こどもみらい保育園常盤園,005-0852,札幌市南区常盤2条2丁目8-12,,,,42.9492,141.3479,011-211-6941,,,,35,25,階戸　郁子,平成31年4月1日,2019/4/1,,2022/3/15
道内認可保育所,11061,札幌-234,北海道,札幌市南区,札幌（南）,株式,株式,,株式会社ぶりりあんとしっぷ,ちびっこの杜保育園,005-0004,札幌市南区澄川4条2丁目10-1,,,,43.016,141.3684,011-374-5015,,,,18,14,舟山　洋子,令和3年4月1日,2021/4/1,,2022/3/15
道内認可保育所,11061,札幌-235,北海道,札幌市南区,札幌（南）,株式,株式,,株式会社よつ葉,木育こどもの家南の沢保育園,005-0825,札幌市南区南沢5条3丁目1-20,,,,42.9871,141.3129,011-596-7665,,,,24,16,日下部　淳子,令和3年4月1日,2021/4/1,,2022/3/15
道内認可保育所,11061,札幌-236,北海道,札幌市南区,札幌（南）,社福,社福,〇,社会福祉法人札幌石山福祉会,認定こども園札幌石山保育園,005-0841,札幌市南区石山1条4丁目8-26,,,,42.965205,141.327597,011-591-6934,,011-591-6934,http://www.sapporoishiyamahoikuen.org/index.html,69,51,北村　一讓,平成31年4月1日,2019/4/1,,2022/3/15
道内認可保育所,11061,札幌-237,北海道,札幌市南区,札幌（南）,社福,社福,〇,社会福祉法人もいわ福祉会,もいわ中央こども園,005-0806,札幌市南区川沿6条3丁目1-14,,,,42.991674,141.331429,011-571-1905,,011-571-1908,http://www.moiwa-chuo-hoikuen.com/,81,69,長浜　裕樹,平成31年4月1日,2019/4/1,,2022/3/15
道内認可保育所,11070,札幌-238,北海道,札幌市西区,札幌（西）,市町村,市町村,,札幌市,札幌市西区保育・子育て支援センター,063-0803,札幌市西区二十四軒3条5丁目6-1-101,,,,43.071873,141.309075,011-621-1496,,011-622-5389,http://www.city.sapporo.jp/nishi/oyakudachi/kosodate/sien_center.html,68,52,武藤　昌恵,平成18年4月1日,2006/4/1,,2022/3/15
道内認可保育所,11070,札幌-239,北海道,札幌市西区,札幌（西）,市町村,市町村,,札幌市,札幌市山の手保育園,063-0004,札幌市西区山の手4条8丁目1-6,,,,43.067387,141.291761,011-611-4477,,011-622-5392,,91,59,斉藤　恵,昭和41年10月1日,1966/10/1,,2022/3/15
道内認可保育所,11070,札幌-240,北海道,札幌市西区,札幌（西）,社福,社福,,社会福祉法人琴似あやめ福祉会,琴似あやめ保育園,063-0812,札幌市西区琴似2条2丁目6-25,,,,43.079747,141.305815,011-631-8560,,011-631-8561,,54,36,植田　泰代,昭和29年5月1日,1954/5/1,,2022/3/15
道内認可保育所,11070,札幌-241,北海道,札幌市西区,札幌（西）,社福,社福,,社会福祉法人光の園,発寒ひかり保育園,063-0825,札幌市西区発寒5条6丁目3-1,,,,43.086607,141.287038,011-661-1445,,011-661-1450,http://www18.ocn.ne.jp/?hikari/,75,55,吉田　行男,昭和44年3月31日,1969/3/31,,2022/3/15
道内認可保育所,11070,札幌-242,北海道,札幌市西区,札幌（西）,社福,社福,,社会福祉法人発寒子どもの園,西発寒保育園,063-0829,札幌市西区発寒9条11丁目1-20,,,,43.094661,141.282205,011-661-8464,,011-661-5053,http://www11.ocn.ne.jp/?genkina/nishihassamu/,54,36,村上　忠之,昭和46年1月1日,1971/1/1,,2022/3/15
道内認可保育所,11070,札幌-243,北海道,札幌市西区,札幌（西）,社福,社福,,社会福祉法人発寒保育会,発寒たんぽぽ保育園,063-0831,札幌市西区発寒11条5丁目11-1,,,,43.096217,141.290204,011-661-1594,,011-668-1771,http://www.ans.co.jp/n/hassamutanpopo/top.html,75,45,斎藤　順子,平成4年4月1日,1992/4/1,,2022/3/15
道内認可保育所,11070,札幌-244,北海道,札幌市西区,札幌（西）,社福,社福,,社会福祉法人札幌みどり福祉会,八軒太陽の子保育園,063-0863,札幌市西区八軒3条東4丁目4-16,,,,43.08058,141.317536,011-621-9024,,011-621-0997,,72,48,菊地　寿子,昭和47年8月1日,1972/8/1,,2022/3/15
道内認可保育所,11070,札幌-245,北海道,札幌市西区,札幌（西）,社福,社福,,社会福祉法人愛敬園,手稲東保育園,063-0062,札幌市西区西町南13丁目3-1,,,,43.081042,141.280544,011-662-4204,,011-662-4205,http://www.sapporo-net.jp/aikeien/higashi/,90,70,橋本　泰宏,昭和49年4月1日,1974/4/1,,2022/3/15
道内認可保育所,11070,札幌-246,北海道,札幌市西区,札幌（西）,社福,社福,,社会福祉法人発幸福祉会,発寒保育園,063-0823,札幌市西区発寒3条1丁目8-1,,,,43.084329,141.299676,011-661-3997,,011-663-3342,http://www5.ocn.ne.jp/?hassamu/,51,39,佐藤　祐美,昭和49年11月1日,1974/11/1,,2022/3/15
道内認可保育所,11070,札幌-247,北海道,札幌市西区,札幌（西）,社福,社福,,社会福祉法人扶桑苑,二十四軒保育園,063-0803,札幌市西区二十四軒3条7丁目5-28-213,,,,43.070267,141.30488,011-643-9030,,011-643-9030,http://fusoen.jp/nijuyonken/,45,35,_橋　眞奈美,平成22年4月1日,2010/4/1,,2022/3/15
道内認可保育所,11070,札幌-248,北海道,札幌市西区,札幌（西）,社福,社福,,社会福祉法人愛和福祉会,西野中央保育園,063-0034,札幌市西区西野4条3丁目8-12,,,,43.071661,141.277721,011-661-5397,,011-661-4316,http://blog.livedoor.jp/nishino_cyuo/,66,54,小島　美由紀,昭和51年10月1日,1976/10/1,,2022/3/15
道内認可保育所,11070,札幌-249,北海道,札幌市西区,札幌（西）,社福,社福,,社会福祉法人八軒明星福祉会,八軒星の子保育園,063-0844,札幌市西区八軒4条西5丁目1-1,,,,43.089607,141.306703,011-641-0232,,011-641-0232,,63,37,齋藤　正人,昭和53年12月1日,1978/12/1,,2022/3/15
道内認可保育所,11070,札幌-250,北海道,札幌市西区,札幌（西）,市町村,社福,,（指定管理者）社会福祉法人発寒子どもの園,札幌市二十四軒南保育園,063-0801,札幌市西区二十四軒1条4丁目2-6,,,,43.070149,141.315886,011-631-8616,,011-631-8617,http://www11.ocn.ne.jp/?genkina/nijuyonkenminami/introduce.html,51,39,中山　暢恵,昭和58年4月1日,1983/4/1,,2022/3/15
道内認可保育所,11070,札幌-251,北海道,札幌市西区,札幌（西）,社福,社福,,社会福祉法人札幌清幸福祉会,西野あおい保育園,063-0037,札幌市西区西野7条8丁目14-5,,,,43.072047,141.264267,011-667-5454,,011-667-5445,,54,36,理寛寺　久敏,平成15年4月1日,2003/4/1,,2022/3/15
道内認可保育所,11070,札幌-252,北海道,札幌市西区,札幌（西）,個人,個人,,蓮野　洋子,こぐま保育園,063-0804,札幌市西区二十四軒4条6丁目3-25,,,,43.072332,141.304621,011-621-0517,,011-621-0517,,30,30,保東　由紀子,平成15年4月1日,2003/4/1,,2022/3/15
道内認可保育所,11070,札幌-253,北海道,札幌市西区,札幌（西）,社福,社福,,社会福祉法人吉田学園福祉会,吉田学園さくら保育園,063-0847,札幌市西区八軒7条西2丁目2-15,,,,43.090393,141.313236,011-622-3331,,011-622-2201,http://www.ans.co.jp/n/yoshida-fukushikai/sakura/index.html,63,57,武岡　弘子,平成18年7月1日,2006/7/1,,2022/3/15
道内認可保育所,11070,札幌-254,北海道,札幌市西区,札幌（西）,社福,社福,,社会福祉法人桃の花メイト会,宮の沢桃の花保育園,063-0053,札幌市西区宮の沢3条3丁目9-3,,,,43.085527,141.263819,011-662-0087,,011-669-3987,http://www.momonohana.jp/miyanosawa/,60,30,杉生　正江,平成19年4月1日,2007/4/1,,2022/3/15
